class,mortar_count,gear_count,only_mortar,only_gear,in_brick,namespace
brick:VAV,2136,2,False,False,True,brick
brick:HVAC_Zone,2137,0,True,False,True,brick
brick:Zone_Air_Temperature_Sensor,2085,0,True,False,True,brick
brick:Room,2025,0,True,False,True,brick
brick:Zone_Air_Temperature_Setpoint,1631,0,True,False,True,brick
brick:Command,1181,0,True,False,True,brick
brick:Supply_Air_Temperature_Sensor,951,2,False,False,True,brick
brick:Supply_Air_Flow_Sensor,838,0,True,False,True,brick
brick:Heating_Command,666,0,True,False,True,brick
brick:Damper,639,0,True,False,True,brick
brick:Damper_Position_Setpoint,639,0,True,False,True,brick
brick:Equipment,0,587,False,True,True,brick
<https://w3id.org/rec>:Room,0,548,False,True,False,<https
brick:Valve_Command,401,6,False,False,True,brick
brick:Air_Flow_Sensor,395,0,True,False,True,brick
brick:HVAC_System,0,330,False,True,True,brick
brick:Occupancy_Sensor,283,0,True,False,True,brick
brick:Cooling_Command,249,0,True,False,True,brick
brick:Cooling_Demand,208,0,True,False,False,brick
brick:Heating_Demand,208,0,True,False,False,brick
brick:Occupied_Cooling_Temperature_Setpoint,208,0,True,False,True,brick
brick:Occupied_Heating_Temperature_Setpoint,208,0,True,False,True,brick
brick:Unoccupied_Air_Temperature_Cooling_Setpoint,208,0,True,False,True,brick
brick:Unoccupied_Air_Temperature_Heating_Setpoint,208,0,True,False,True,brick
brick:Air_Handler_Unit,190,0,True,False,True,brick
brick:Outside_Air_Temperature_Sensor,173,0,True,False,True,brick
brick:Supply_Air_Flow_Setpoint,163,0,True,False,True,brick
brick:Supply_Air_Temperature_Setpoint,137,2,False,False,True,brick
brick:Mode,106,0,True,False,False,brick
brick:Air_Flow_Setpoint,99,0,True,False,True,brick
brick:Discharge_Air_Temperature_Sensor,99,0,True,False,True,brick
brick:RVAV,99,0,True,False,True,brick
brick:Reheat_Coil,99,0,True,False,False,brick
brick:Chilled_Water_Supply_Temperature_Sensor,77,0,True,False,True,brick
brick:Floor,70,0,True,False,True,brick
brick:Chilled_Water_Return_Temperature_Sensor,69,0,True,False,True,brick
brick:Supply_Air_Static_Pressure_Sensor,64,0,True,False,True,brick
brick:Return_Air_Temperature_Sensor,61,2,False,False,True,brick
brick:Mixed_Air_Temperature_Sensor,57,0,True,False,True,brick
brick:Speed_Status,52,0,True,False,True,brick
brick:Start_Stop_Command,45,0,True,False,True,brick
owl:Ontology,44,0,True,False,False,owl
brick:Building,43,0,True,False,True,brick
brick:Status,6,35,False,False,True,brick
brick:Chilled_Water_Flow_Sensor,40,0,True,False,True,brick
brick:Chiller,38,0,True,False,True,brick
brick:Chilled_Water_Supply_Temperature_Setpoint,37,0,True,False,False,brick
brick:Emergency_Alarm,0,33,False,True,True,brick
brick:Hot_Water_Valve_Command,32,0,True,False,False,brick
brick:Damper_Position_Command,28,0,True,False,True,brick
brick:Switch_Status,0,28,False,True,True,brick
brick:Enable_Command,26,0,True,False,True,brick
brick:Chilled_Water_Valve_Command,25,0,True,False,False,brick
brick:Energy_Usage_Sensor,0,25,False,True,True,brick
brick:Fan_Status,25,0,True,False,True,brick
brick:Temperature_Setpoint,21,2,False,False,True,brick
brick:Output_Frequency_Sensor,20,0,True,False,True,brick
brick:Power_Sensor,20,0,True,False,True,brick
brick:Chilled_Water_Differential_Temperature_Sensor,19,0,True,False,True,brick
brick:Temperature_Sensor,0,18,False,True,True,brick
brick:Building_Electric_Meter,16,0,True,False,False,brick
brick:Electric_Meter,16,0,True,False,False,brick
brick:Fan_Speed_Command,0,16,False,True,True,brick
brick:Fan,0,15,False,True,True,brick
brick:Chilled_Water_Return_Temperature_Setpoint,13,0,True,False,False,brick
brick:FCU,0,13,False,True,True,brick
brick:Outside_Air_Damper_Command,13,0,True,False,False,brick
brick:Ceiling_Fan,0,12,False,True,True,brick
brick:Supply_Air_flow,12,0,True,False,False,brick
brick:Electrical_Meter,0,11,False,True,True,brick
brick:Flow_Sensor,0,11,False,True,True,brick
brick:Chilled_Water_Pump_VFD_Speed,10,0,True,False,False,brick
brick:Cooling_Request_Percent_Setpoint,10,0,True,False,False,brick
<https://w3id.org/rec>:Level,0,9,False,True,False,<https
brick:Speed_Setpoint,9,0,True,False,True,brick
brick:Dewpoint_Sensor,0,6,False,True,True,brick
brick:Dewpoint_Setpoint,0,6,False,True,True,brick
brick:Pump_Command,6,0,True,False,True,brick
brick:Water_Pump,0,6,False,True,True,brick
brick:Chilled_Water_Differential_Pressure_Sensor,5,0,True,False,True,brick
brick:AHU,2,2,False,False,True,brick
brick:Change_Filter_Alarm,0,4,False,True,True,brick
brick:IAQ_Sensor_Equipment,0,4,False,True,True,brick
brick:Mode_Command,4,0,True,False,True,brick
brick:On_Off_Status,2,2,False,False,True,brick
brick:Speed_Mode_Status,0,4,False,True,True,brick
brick:Static_Pressure_Setpoint,0,4,False,True,True,brick
brick:CO2_Sensor,3,0,True,False,True,brick
brick:Differential_Pressure_Sensor,3,0,True,False,True,brick
brick:Heat_Pump_Air_Source_Condensing_Unit,0,3,False,True,True,brick
brick:Water_Flow_Sensor,3,0,True,False,True,brick
brick:Air_Loop,0,2,False,True,True,brick
brick:Chilled_Water_Bypass_Valve,2,0,True,False,False,brick
brick:Chilled_Water_Differential_Pressure_Setpoint,2,0,True,False,True,brick
brick:Cooling_Coil,0,2,False,True,True,brick
brick:Cooling_Valve,0,2,False,True,True,brick
brick:Damper_Position_Status,0,2,False,True,True,brick
brick:Heating_Valve,0,2,False,True,True,brick
brick:Meter,0,2,False,True,True,brick
brick:Min_Supply_Air_Temperature_Setpoint_Limit,0,2,False,True,True,brick
brick:On_Off_Command,0,2,False,True,True,brick
brick:Return_Air_CO2_Sensor,0,2,False,True,True,brick
brick:Return_Air_CO2_Setpoint,0,2,False,True,True,brick
brick:Return_Air_Temperature_Setpoint,0,2,False,True,True,brick
brick:Speed_Command,2,0,True,False,True,brick
brick:Supply_Fan,2,0,True,False,True,brick
brick:Water_Loop,0,2,False,True,True,brick
<https://w3id.org/rec>:Building,0,1,False,True,False,<https
<https://w3id.org/rec>:Site,0,1,False,True,False,<https
brick:Boiler,1,0,True,False,True,brick
brick:Breaker_Panel,0,1,False,True,True,brick
brick:Chilled_Water_Return_Pressure,1,0,True,False,False,brick
brick:Chilled_Water_Supply_Pressure,1,0,True,False,False,brick
brick:Chilled_Water_System_Enable_Command,1,0,True,False,True,brick
brick:Gas_Sensor,1,0,True,False,True,brick
brick:Hot_Water_Supply_Flow_Sensor,1,0,True,False,True,brick
brick:Hot_Water_Supply_Temperature_Sensor,1,0,True,False,True,brick
brick:Min_Chilled_Water_Supply_Temperature_Setpoint,1,0,True,False,False,brick
brick:Return_Pressure_Sensor,1,0,True,False,False,brick
brick:Return_Water_Temperature_Sensor,1,0,True,False,True,brick
brick:Setpoint,1,0,True,False,True,brick
brick:Supply_Pressure_Sensor,1,0,True,False,False,brick
